account_id,name,risk_score,dpd,total_debt,due_date,loan_type,region,last_payment_date,payment_frequency,partial_payments_count,payment_channel,last_contact_channel,response_time_avg,bot_interaction_score,call_pickup_rate,occupation_type,region_income_level,loan_purpose,stage_last_contacted,touchpoints_count,recommended_next_action,age,monthly_income,last_payment_days_ago,contact_channel,response_behavior,risk_level,dpd_bucket,income_level,ai_risk_score
ACC0014,Somsak,0.6,11,91600,2025-07-03,Home Loan,Bangkok,2025-06-17,Weekly,3,MobileApp,Phone,72,0.52,0.4,Unemployed,Low,Consumption,Stage 2,9,Call,50,78736,45,SMS,Responsive,High,8–30,High,0.79
ACC0015,Tida,0.8,26,94290,2025-07-01,Credit Card,South,2025-05-26,Monthly,0,BankBranch,LINE,3,0.17,0.89,Business Owner,High,Investment,Stage 2,5,Send SMS,22,77165,14,LINE,Responsive,Low,8–30,High,0.81
ACC0016,Ying,0.46,3,5303,2025-08-07,Home Loan,Northeast,2025-06-01,Irregular,0,BankBranch,LINE,67,0.33,0.46,Unemployed,Low,Investment,Stage 1,9,Call,42,54815,0,LINE,Responsive,High,0–7,High,0.96
ACC0017,Somchai,0.87,27,78972,2025-07-04,Car Loan,North,2025-06-01,Monthly,5,ATM,Email,33,0.82,0.34,Freelancer,Medium,Consumption,Stage 0,2,Escalate,30,46532,10,SMS,Responsive,High,8–30,High,0.51
ACC0018,Ploy,0.47,17,15516,2025-07-26,Car Loan,Central,2025-06-17,Monthly,5,LINE,Email,33,0.81,0.54,Salaried,Low,Investment,Stage 1,4,Escalate,35,20278,30,None,Ignored,High,8–30,Mid,0.58
ACC0019,Chutima,0.19,11,97636,2025-07-20,Car Loan,North,2025-05-29,Irregular,0,LINE,SMS,43,0.1,0.67,Business Owner,Low,Investment,Stage 0,5,Send SMS,45,11995,35,None,Ignored,Low,8–30,Low,0.84
ACC0020,Nok,0.73,9,94565,2025-06-28,SME Loan,Northeast,2025-07-06,Irregular,4,ATM,SMS,71,0.56,0.39,Salaried,High,Investment,Stage 0,5,Call,24,61891,22,LINE,Ignored,Medium,8–30,High,0.72
ACC0021,Nok,0.36,12,84652,2025-08-02,Home Loan,Bangkok,2025-05-21,Irregular,0,LINE,LINE,39,0.78,0.6,Freelancer,Medium,Consumption,Stage 2,8,LINE Bot,57,48022,58,LINE,Slow,Low,8–30,High,0.76
ACC0022,Nok,0.86,3,89559,2025-07-11,Personal Loan,Bangkok,2025-05-24,Monthly,0,BankBranch,Phone,58,0.79,0.8,Unemployed,High,Emergency,Stage 0,9,Call,38,57126,69,None,Ignored,Medium,0–7,High,0.92
ACC0023,Nok,0.35,16,63873,2025-07-01,SME Loan,North,2025-05-28,Monthly,1,BankBranch,Email,32,0.0,0.1,Unemployed,High,Consumption,Stage 2,2,LINE Bot,58,74636,11,None,Ignored,Low,8–30,High,0.68
ACC0024,Tida,0.61,22,89134,2025-07-25,SME Loan,South,2025-05-11,Irregular,0,LINE,SMS,50,0.52,0.86,Unemployed,Low,Consumption,Stage 0,3,LINE Bot,24,41927,31,SMS,Ignored,Medium,8–30,High,0.83
ACC0025,Veera,0.61,17,85352,2025-08-06,Car Loan,North,2025-05-17,Weekly,4,ATM,LINE,46,0.27,0.85,Freelancer,Medium,Investment,Stage 0,2,LINE Bot,47,41235,1,Voice,Responsive,Medium,8–30,High,0.99
ACC0026,Ying,0.49,20,87676,2025-06-17,SME Loan,Central,2025-06-27,Weekly,4,BankBranch,Email,70,0.11,0.66,Freelancer,High,Consumption,Stage 1,4,Escalate,30,18743,82,Voice,Ignored,Medium,8–30,Mid,0.89
ACC0027,Somchai,0.05,3,99183,2025-08-04,Credit Card,North,2025-05-25,Monthly,2,ATM,LINE,72,0.18,0.72,Freelancer,High,Consumption,Stage 1,10,Call,38,26077,14,LINE,Responsive,Medium,0–7,Mid,0.53
ACC0028,Veera,0.05,9,23968,2025-08-06,Personal Loan,Central,2025-06-21,Weekly,4,ATM,LINE,29,0.54,0.45,Business Owner,High,Consumption,Stage 2,8,Send SMS,34,40445,75,SMS,Slow,Medium,8–30,High,0.61
ACC0029,Veera,0.98,18,35620,2025-07-15,Home Loan,Northeast,2025-06-27,Irregular,1,ATM,SMS,36,0.33,0.99,Freelancer,High,Emergency,Stage 1,10,Escalate,32,35076,54,LINE,Slow,High,8–30,Mid,0.68
ACC0030,Chutima,0.97,24,92159,2025-06-16,SME Loan,Bangkok,2025-06-06,Weekly,3,MobileApp,Email,52,0.31,0.96,Freelancer,Medium,Consumption,Stage 0,6,LINE Bot,20,17827,14,LINE,Responsive,Low,8–30,Mid,0.8
ACC0031,Ploy,0.71,16,62652,2025-06-27,Home Loan,Central,2025-06-14,Monthly,5,MobileApp,Email,13,0.95,0.04,Freelancer,Low,Consumption,Stage 2,1,Send SMS,56,41012,80,None,Ignored,Medium,8–30,High,0.71
ACC0032,Golf,0.03,28,59042,2025-06-12,Home Loan,Northeast,2025-05-15,Irregular,0,MobileApp,SMS,23,0.02,0.57,Freelancer,Low,Investment,Stage 0,9,Send SMS,29,47641,74,Voice,Responsive,High,8–30,High,0.84
ACC0033,Somsak,0.61,25,93960,2025-07-15,Home Loan,Northeast,2025-06-21,Weekly,1,BankBranch,Email,45,0.06,0.98,Salaried,Medium,Emergency,Stage 1,1,LINE Bot,44,40919,49,None,Slow,High,8–30,High,0.51
ACC0034,Kittipong,0.45,18,72223,2025-06-21,Car Loan,North,2025-07-05,Irregular,2,BankBranch,Phone,7,0.66,0.47,Business Owner,Low,Consumption,Stage 1,6,LINE Bot,26,34733,26,LINE,Ignored,Medium,8–30,Mid,0.63
ACC0035,Somsak,0.46,4,81746,2025-06-15,Personal Loan,Central,2025-06-28,Monthly,3,LINE,SMS,6,0.87,0.33,Salaried,High,Consumption,Stage 1,9,Escalate,64,28902,26,Voice,Responsive,Medium,0–7,Mid,0.73
ACC0036,Ying,0.48,11,42904,2025-06-27,SME Loan,Central,2025-06-20,Irregular,1,BankBranch,LINE,63,0.03,0.58,Unemployed,Medium,Investment,Stage 2,1,Send SMS,23,12702,83,LINE,Responsive,Medium,8–30,Low,0.71
ACC0037,Chutima,0.65,26,23636,2025-07-17,Home Loan,Bangkok,2025-06-26,Monthly,4,ATM,SMS,37,0.54,0.84,Freelancer,Low,Consumption,Stage 0,8,Send SMS,42,27361,56,None,Ignored,Low,8–30,Mid,0.9
ACC0038,Aom,0.8,8,74377,2025-06-22,Credit Card,South,2025-06-23,Weekly,0,BankBranch,SMS,35,0.72,0.79,Freelancer,Low,Consumption,Stage 0,6,Escalate,34,51605,31,Voice,Responsive,Medium,8–30,High,0.97
ACC0039,Malee,0.94,14,74672,2025-07-11,Car Loan,Bangkok,2025-06-12,Irregular,3,BankBranch,LINE,35,0.76,0.73,Business Owner,Low,Investment,Stage 1,3,Escalate,57,44718,58,LINE,Ignored,Low,8–30,High,0.76
ACC0040,Ying,0.58,15,90996,2025-08-04,Credit Card,Bangkok,2025-06-11,Monthly,5,ATM,LINE,33,0.19,0.74,Unemployed,High,Emergency,Stage 0,8,Escalate,61,39233,36,LINE,Responsive,Low,8–30,Mid,0.89
ACC0041,Malee,0.21,23,40174,2025-06-25,Credit Card,Central,2025-06-27,Weekly,0,ATM,SMS,69,0.45,0.25,Unemployed,High,Investment,Stage 0,4,Send SMS,46,59405,18,LINE,Ignored,High,8–30,High,0.83
ACC0042,Somsak,0.6,28,73723,2025-06-29,Credit Card,Central,2025-07-10,Weekly,2,MobileApp,Email,50,0.84,0.12,Salaried,Medium,Consumption,Stage 2,1,Call,55,38644,9,SMS,Ignored,High,8–30,Mid,0.51
ACC0043,Anan,0.42,2,8526,2025-08-07,SME Loan,Bangkok,2025-05-14,Irregular,1,MobileApp,Phone,6,0.18,0.82,Unemployed,Low,Investment,Stage 1,5,Call,49,34423,55,LINE,Slow,Medium,0–7,Mid,0.97
ACC0044,Malee,0.7,9,92101,2025-07-20,Home Loan,Northeast,2025-05-31,Irregular,5,LINE,Phone,65,0.95,0.92,Unemployed,Medium,Investment,Stage 0,7,LINE Bot,54,55616,66,SMS,Ignored,High,8–30,High,0.79
ACC0045,Nok,0.34,3,94381,2025-07-25,SME Loan,Northeast,2025-06-25,Weekly,5,BankBranch,Email,19,0.52,0.64,Business Owner,Medium,Investment,Stage 0,10,Escalate,41,16888,83,Voice,Ignored,Low,0–7,Mid,0.91
ACC0046,Pim,0.13,15,77130,2025-06-15,Personal Loan,Central,2025-05-13,Monthly,3,MobileApp,LINE,11,0.31,0.89,Salaried,Medium,Consumption,Stage 1,10,Send SMS,25,19755,22,None,Ignored,Low,8–30,Mid,0.64
ACC0047,Malee,0.98,26,14630,2025-06-26,Personal Loan,Northeast,2025-06-21,Monthly,2,ATM,LINE,15,0.97,0.7,Unemployed,Medium,Emergency,Stage 1,3,Escalate,30,25533,14,SMS,Ignored,Low,8–30,Mid,0.91
ACC0048,Chutima,0.82,22,25470,2025-07-28,Personal Loan,North,2025-06-05,Irregular,5,LINE,Phone,40,0.63,0.05,Business Owner,High,Investment,Stage 2,10,LINE Bot,22,34567,38,LINE,Responsive,Medium,8–30,Mid,0.73
ACC0049,Nok,0.46,21,18466,2025-06-20,Personal Loan,South,2025-05-26,Irregular,0,BankBranch,LINE,57,0.13,0.29,Unemployed,High,Investment,Stage 0,8,LINE Bot,48,42470,45,SMS,Responsive,Medium,8–30,High,0.83
ACC0050,Aom,0.9,25,8535,2025-07-19,Car Loan,Central,2025-06-03,Irregular,1,MobileApp,Email,29,0.08,0.97,Freelancer,Medium,Emergency,Stage 0,8,Escalate,38,65447,73,None,Responsive,High,8–30,High,0.98
ACC0051,Somchai,0.23,26,6261,2025-07-28,Home Loan,North,2025-06-13,Irregular,4,BankBranch,Phone,61,0.79,0.35,Business Owner,Low,Investment,Stage 1,6,LINE Bot,43,76414,1,LINE,Responsive,High,8–30,High,0.68
ACC0052,Ying,0.38,29,41420,2025-07-05,Home Loan,Bangkok,2025-06-10,Monthly,0,ATM,Email,51,0.84,0.67,Salaried,High,Emergency,Stage 0,9,Call,36,32575,83,SMS,Ignored,Medium,8–30,Mid,0.98
ACC0053,Somsak,0.14,23,59552,2025-07-02,Home Loan,Central,2025-06-22,Weekly,1,LINE,Email,17,0.88,0.65,Unemployed,Low,Investment,Stage 0,3,Escalate,50,72822,75,LINE,Slow,Low,8–30,High,0.61
ACC0054,Chutima,0.62,16,93478,2025-07-25,Home Loan,Bangkok,2025-07-07,Irregular,5,LINE,SMS,18,0.96,0.31,Salaried,Low,Consumption,Stage 1,6,Send SMS,23,21560,78,None,Ignored,Medium,8–30,Mid,0.58
ACC0055,Tida,0.4,13,76304,2025-07-26,SME Loan,Northeast,2025-06-19,Monthly,0,MobileApp,SMS,35,0.71,0.79,Salaried,Medium,Emergency,Stage 2,3,LINE Bot,64,9451,44,Voice,Slow,Low,8–30,Low,0.61
ACC0056,Chutima,0.9,27,79025,2025-06-30,Personal Loan,Central,2025-06-27,Irregular,5,LINE,LINE,12,0.12,0.72,Freelancer,High,Investment,Stage 2,8,LINE Bot,23,60785,26,SMS,Responsive,Low,8–30,High,0.72
ACC0057,Kittipong,0.32,30,7742,2025-06-28,Home Loan,Northeast,2025-06-13,Weekly,5,MobileApp,LINE,56,0.68,0.51,Business Owner,Low,Consumption,Stage 0,10,Escalate,55,46594,26,LINE,Slow,High,8–30,High,0.56
ACC0058,Veera,0.85,30,88659,2025-07-18,Credit Card,Bangkok,2025-06-12,Monthly,4,BankBranch,SMS,9,0.59,0.86,Freelancer,High,Consumption,Stage 0,9,Call,53,29097,90,None,Slow,Low,8–30,Mid,0.96
ACC0059,Veera,0.19,11,12892,2025-06-10,Car Loan,Northeast,2025-06-03,Weekly,0,MobileApp,Email,70,0.86,0.91,Salaried,Low,Consumption,Stage 1,4,Call,27,51428,33,None,Slow,High,8–30,High,0.86
ACC0060,Veera,0.34,19,63063,2025-07-23,Car Loan,Northeast,2025-06-23,Irregular,0,ATM,Email,61,0.2,0.32,Salaried,High,Emergency,Stage 0,3,Escalate,44,32141,70,None,Ignored,High,8–30,Mid,1.0
ACC0061,Aom,0.26,28,53252,2025-08-01,Car Loan,Central,2025-07-07,Irregular,0,LINE,Email,11,0.41,0.78,Business Owner,Low,Emergency,Stage 2,2,Call,21,18273,35,Voice,Slow,Low,8–30,Mid,0.58
ACC0062,Nok,0.67,1,48091,2025-07-17,SME Loan,South,2025-06-01,Weekly,1,MobileApp,Email,48,0.25,0.48,Unemployed,High,Consumption,Stage 2,4,Escalate,49,31582,14,Voice,Responsive,High,0–7,Mid,0.89
ACC0063,Anan,0.94,16,54886,2025-06-26,Credit Card,Bangkok,2025-05-18,Monthly,5,BankBranch,Phone,71,0.5,0.14,Freelancer,High,Investment,Stage 1,6,Send SMS,33,16678,65,Voice,Ignored,High,8–30,Mid,0.59
ACC0064,Malee,0.63,30,12245,2025-07-18,Credit Card,Central,2025-05-23,Weekly,1,LINE,Phone,44,0.44,0.26,Salaried,High,Consumption,Stage 2,3,Escalate,35,15606,52,SMS,Responsive,Medium,8–30,Mid,0.89
ACC0065,Pim,0.27,22,22146,2025-07-17,Credit Card,Central,2025-06-26,Monthly,5,LINE,Phone,21,0.39,0.15,Business Owner,High,Consumption,Stage 2,1,Send SMS,53,11062,78,SMS,Ignored,High,8–30,Low,0.85
ACC0066,Kittipong,0.75,17,69189,2025-08-08,Home Loan,Bangkok,2025-06-08,Irregular,5,ATM,LINE,70,0.96,0.12,Salaried,Medium,Consumption,Stage 2,10,Escalate,31,37539,15,SMS,Responsive,High,8–30,Mid,0.81
ACC0067,Pim,0.92,14,9596,2025-07-19,Home Loan,South,2025-06-04,Weekly,5,BankBranch,Email,48,0.47,0.33,Unemployed,Low,Investment,Stage 0,1,LINE Bot,27,22438,48,SMS,Slow,High,8–30,Mid,0.98
ACC0068,Ying,0.1,27,92492,2025-06-22,Credit Card,South,2025-06-14,Weekly,1,BankBranch,SMS,12,0.2,0.02,Unemployed,Medium,Consumption,Stage 1,5,Call,57,37660,63,None,Slow,Low,8–30,Mid,0.63
ACC0069,Tida,0.03,6,56862,2025-07-19,Home Loan,Central,2025-05-31,Weekly,1,ATM,Phone,72,0.09,0.89,Salaried,Medium,Investment,Stage 0,10,Call,49,60045,2,SMS,Responsive,Medium,0–7,High,0.92
ACC0070,Pim,0.03,22,51767,2025-07-30,Personal Loan,Central,2025-06-12,Irregular,0,MobileApp,SMS,66,0.66,0.15,Business Owner,Medium,Emergency,Stage 1,8,Call,35,70650,1,None,Slow,Medium,8–30,High,0.61
ACC0071,Kittipong,0.21,2,85332,2025-06-10,Credit Card,Northeast,2025-06-21,Monthly,0,ATM,Email,17,0.05,0.28,Salaried,High,Investment,Stage 0,5,Call,37,23835,27,SMS,Responsive,Medium,0–7,Mid,0.53
ACC0072,Aom,0.12,25,62967,2025-07-23,Personal Loan,Bangkok,2025-07-09,Weekly,4,ATM,Email,49,0.95,0.24,Salaried,Medium,Emergency,Stage 1,8,LINE Bot,65,60804,83,Voice,Slow,Low,8–30,High,0.58
ACC0073,Anan,0.82,4,77163,2025-08-03,Credit Card,Bangkok,2025-06-25,Monthly,0,ATM,SMS,41,0.29,0.81,Unemployed,Medium,Investment,Stage 1,10,Call,25,65435,75,LINE,Ignored,Low,0–7,High,0.85
ACC0074,Veera,0.99,10,32195,2025-07-15,Car Loan,North,2025-06-22,Irregular,3,ATM,Phone,44,0.88,0.45,Unemployed,Low,Investment,Stage 2,9,Call,31,43437,7,SMS,Slow,Low,8–30,High,0.66
ACC0075,Ploy,0.06,0,76363,2025-07-08,Car Loan,North,2025-06-12,Monthly,5,BankBranch,LINE,56,0.01,0.63,Business Owner,High,Emergency,Stage 1,7,Send SMS,40,14288,20,Voice,Ignored,Medium,0–7,Low,0.8
ACC0076,Nok,0.84,1,33828,2025-06-30,Personal Loan,Central,2025-05-11,Monthly,1,BankBranch,SMS,59,0.84,0.38,Business Owner,Medium,Emergency,Stage 2,6,Call,50,50875,3,Voice,Slow,High,0–7,High,0.69
ACC0077,Anan,0.78,16,55817,2025-08-01,Personal Loan,Bangkok,2025-06-10,Monthly,3,BankBranch,SMS,3,0.63,0.7,Unemployed,Medium,Emergency,Stage 0,8,Send SMS,28,74630,10,None,Slow,Low,8–30,High,0.86
ACC0078,Malee,0.02,8,83495,2025-06-21,Personal Loan,South,2025-07-08,Weekly,1,MobileApp,Phone,72,0.86,0.71,Freelancer,High,Investment,Stage 2,4,Call,35,60232,48,Voice,Ignored,Medium,8–30,High,0.54
ACC0079,Golf,0.21,5,68375,2025-07-26,SME Loan,North,2025-07-02,Monthly,4,LINE,SMS,66,0.73,0.38,Business Owner,Low,Emergency,Stage 2,3,Send SMS,51,68765,23,SMS,Responsive,High,0–7,High,0.55
ACC0080,Pim,0.13,23,94114,2025-06-26,Credit Card,North,2025-07-07,Monthly,0,LINE,Phone,36,0.39,0.23,Business Owner,Medium,Consumption,Stage 2,8,Escalate,24,25016,12,LINE,Ignored,Medium,8–30,Mid,0.83
ACC0081,Aom,0.39,28,39733,2025-06-29,SME Loan,Central,2025-06-01,Irregular,3,BankBranch,LINE,10,0.38,0.7,Business Owner,High,Consumption,Stage 0,4,Send SMS,58,16540,81,SMS,Ignored,High,8–30,Mid,0.9
ACC0082,Chutima,0.04,22,89322,2025-07-12,SME Loan,South,2025-06-01,Weekly,0,MobileApp,Email,14,0.16,0.92,Freelancer,Low,Investment,Stage 1,2,Escalate,46,62692,45,None,Slow,Low,8–30,High,0.51
ACC0083,Veera,0.9,0,74459,2025-07-23,Home Loan,Northeast,2025-05-29,Monthly,5,MobileApp,LINE,52,0.86,0.56,Salaried,Medium,Consumption,Stage 0,6,Escalate,50,9248,39,Voice,Ignored,High,0–7,Low,0.62
ACC0084,Kittipong,0.92,25,61159,2025-06-16,Car Loan,North,2025-06-21,Irregular,0,ATM,Email,63,0.51,0.3,Freelancer,Low,Consumption,Stage 0,9,Call,32,61545,5,None,Slow,High,8–30,High,0.73
ACC0085,Aom,0.4,18,42434,2025-07-06,Car Loan,Northeast,2025-05-23,Irregular,2,ATM,SMS,42,0.59,0.9,Unemployed,Low,Emergency,Stage 1,7,Escalate,45,41048,14,SMS,Ignored,High,8–30,High,0.96
ACC0086,Tida,0.97,27,81075,2025-07-06,Car Loan,South,2025-06-02,Weekly,2,ATM,SMS,41,0.94,0.81,Unemployed,Medium,Investment,Stage 2,7,Send SMS,28,39540,58,Voice,Ignored,High,8–30,Mid,0.81
ACC0087,Golf,0.42,24,60936,2025-06-29,Car Loan,Bangkok,2025-06-17,Weekly,5,MobileApp,LINE,25,0.03,0.34,Salaried,Low,Consumption,Stage 2,8,LINE Bot,20,79894,22,Voice,Slow,Low,8–30,High,0.63
ACC0088,Ploy,0.72,4,8866,2025-06-29,Home Loan,Bangkok,2025-05-27,Monthly,3,BankBranch,LINE,72,0.29,0.22,Salaried,High,Investment,Stage 0,9,Escalate,42,72183,42,LINE,Responsive,Low,0–7,High,0.53
ACC0089,Golf,0.76,13,21860,2025-06-21,Credit Card,Central,2025-05-27,Monthly,5,ATM,Phone,47,0.93,0.96,Freelancer,Medium,Emergency,Stage 2,6,Send SMS,44,21281,16,Voice,Ignored,High,8–30,Mid,0.81
ACC0090,Ying,0.71,2,54183,2025-06-30,Home Loan,South,2025-05-13,Weekly,0,ATM,SMS,39,0.01,0.67,Salaried,Low,Consumption,Stage 0,5,Call,48,36171,5,LINE,Slow,High,0–7,Mid,1.0
ACC0091,Kittipong,0.69,15,91313,2025-07-16,Home Loan,North,2025-05-22,Monthly,2,MobileApp,SMS,6,0.6,0.07,Salaried,Low,Consumption,Stage 1,6,Escalate,61,58053,33,LINE,Slow,High,8–30,High,0.93
ACC0092,Kittipong,0.02,2,52780,2025-07-08,Home Loan,Northeast,2025-06-18,Irregular,0,BankBranch,SMS,32,0.29,0.48,Unemployed,Medium,Consumption,Stage 1,8,Send SMS,42,39259,54,None,Ignored,High,0–7,Mid,0.88
ACC0093,Somsak,0.86,20,41534,2025-08-05,Credit Card,North,2025-05-27,Weekly,2,BankBranch,Email,3,0.43,0.94,Salaried,Medium,Investment,Stage 1,2,Call,19,34479,49,SMS,Ignored,High,8–30,Mid,0.88
ACC0094,Golf,0.69,12,40373,2025-07-19,Personal Loan,South,2025-05-15,Monthly,2,LINE,Phone,41,0.32,0.73,Salaried,Low,Investment,Stage 2,7,LINE Bot,21,68579,71,None,Responsive,High,8–30,High,0.99
ACC0095,Somsak,0.7,21,62634,2025-07-01,SME Loan,South,2025-06-06,Monthly,5,MobileApp,Email,42,0.17,0.5,Business Owner,High,Emergency,Stage 2,5,Call,27,13931,30,LINE,Ignored,High,8–30,Low,0.51
ACC0096,Ying,0.79,27,48851,2025-08-01,Car Loan,North,2025-06-22,Weekly,0,LINE,Email,4,0.28,0.39,Unemployed,Low,Consumption,Stage 0,5,Escalate,61,46409,57,LINE,Ignored,Medium,8–30,High,0.7
ACC0097,Pim,0.73,11,9028,2025-07-01,SME Loan,Central,2025-06-28,Weekly,3,LINE,Email,56,0.94,0.88,Business Owner,High,Emergency,Stage 1,2,Send SMS,28,54739,79,None,Slow,High,8–30,High,0.73
ACC0098,Kittipong,0.54,6,12281,2025-07-03,SME Loan,Central,2025-07-03,Weekly,0,MobileApp,Email,70,0.22,0.25,Salaried,High,Emergency,Stage 1,1,LINE Bot,49,21033,40,SMS,Responsive,Medium,0–7,Mid,0.84
ACC0099,Veera,0.84,28,77314,2025-08-02,Credit Card,Northeast,2025-06-15,Monthly,1,MobileApp,SMS,27,0.78,0.67,Unemployed,Low,Investment,Stage 2,2,LINE Bot,51,59482,58,Voice,Ignored,High,8–30,High,0.65
ACC0100,Tida,0.39,12,26265,2025-07-08,SME Loan,South,2025-07-05,Irregular,0,ATM,Phone,6,0.36,0.04,Salaried,Medium,Consumption,Stage 0,5,LINE Bot,46,53350,58,Voice,Ignored,Low,8–30,High,0.88
ACC0101,Kittipong,0.54,1,77267,2025-06-13,Credit Card,Northeast,2025-06-30,Weekly,0,LINE,LINE,44,0.31,0.94,Business Owner,High,Emergency,Stage 0,8,Escalate,46,39366,55,None,Responsive,High,0–7,Mid,0.53
ACC0102,Golf,0.22,23,77160,2025-07-21,Personal Loan,Northeast,2025-05-30,Monthly,1,LINE,LINE,62,0.92,0.86,Salaried,Low,Emergency,Stage 2,5,Escalate,40,53137,57,Voice,Ignored,Medium,8–30,High,0.73
ACC0103,Ploy,0.24,14,10352,2025-06-24,Personal Loan,Central,2025-05-23,Monthly,4,MobileApp,Email,57,0.19,0.92,Salaried,Medium,Emergency,Stage 0,2,Send SMS,63,58827,1,Voice,Ignored,High,8–30,High,0.64
ACC0104,Chutima,0.1,3,45535,2025-06-20,SME Loan,Bangkok,2025-06-16,Irregular,2,MobileApp,SMS,10,0.17,0.6,Unemployed,Low,Emergency,Stage 2,8,Call,54,27202,61,SMS,Ignored,Low,0–7,Mid,0.91
ACC0105,Chutima,0.06,15,11604,2025-07-01,Personal Loan,South,2025-06-06,Irregular,1,BankBranch,Phone,23,0.82,0.27,Salaried,Medium,Consumption,Stage 1,5,Send SMS,24,68222,18,Voice,Responsive,High,8–30,High,0.68
ACC0106,Nok,0.17,27,23196,2025-06-24,Car Loan,Bangkok,2025-05-23,Irregular,0,BankBranch,Email,56,0.87,0.52,Business Owner,High,Emergency,Stage 0,6,Escalate,50,29159,58,Voice,Ignored,Medium,8–30,Mid,1.0
ACC0107,Veera,0.27,9,66762,2025-07-08,Credit Card,Central,2025-05-31,Irregular,4,LINE,Email,69,0.69,0.51,Unemployed,High,Investment,Stage 0,8,Escalate,44,9449,58,None,Slow,Medium,8–30,Low,0.88
ACC0108,Anan,0.97,29,73797,2025-08-07,SME Loan,Northeast,2025-05-20,Weekly,4,LINE,Email,3,0.16,0.04,Salaried,High,Consumption,Stage 0,10,Send SMS,45,59650,78,Voice,Ignored,High,8–30,High,0.64
ACC0109,Tida,0.92,23,34414,2025-06-18,Personal Loan,South,2025-06-10,Monthly,4,ATM,LINE,45,0.7,0.38,Unemployed,Medium,Emergency,Stage 2,5,Send SMS,37,11584,23,None,Slow,Low,8–30,Low,0.64
